SMILES	RTs
C1=CC=C2C(=C1)C(C(=O)N2)CC(=O)O	121.14498
CC1C(NC(CN1)C2=CC=CC=C2)C	156.477
C1CCC(C(C1)O)O	292.593
C1CCC(=O)C(=O)C1	346.33602
CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C	109.66398
C1CC(=O)CC(=O)C1	88.38798
C1CC(CCC1C(=O)O)C(=O)O	93.61302
C1CC(=O)CCC1=O	69.102
CN1C2=C(NC1=O)NC(=O)N(C2=O)C	245.43198
CC(=O)N1C=CN=C1	82.08798
C1=CC=C(C=C1)CN2C=CN=C2	97.94898
CN1C=C(C(=O)NC1=O)C2C(C(C(O2)CO)O)O	299.13402
CN1C=C(C2=CC=CC=C21)CC(C(=O)O)N	382.728
CC12CCC3C(C1CC(C2O)OC4C(C(C(C(O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O	389.61198
C1CC(OC1CO)N2C=NC3=C2NC=NC3=O	206.41998
C1C(C(OC1N2C=NC3=C2N=CN=C3N)COP(=O)(O)O)O	517.569
C1C(C(OC1N2C=CC(=NC2=O)N)CO)O	352.05198
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)OP(=O)(O)O	565.983
C1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O	555.18804
CC1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)OC	295.857
CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)OC	104.86902
COC1C(C(OC1N2C=NC3=C2N=CN=C3N)CO)O	155.97102
COC1C(C(OC1N2C=CC(=NC2=O)N)CO)O	301.23396
COC1C(C(OC1N2C=NC3=C2NC(=NC3=O)N)CO)O	343.27698
COC1C(C(OC1N2C=NC3=C2NC=NC3=O)CO)O	243.81402
COC1C(C(OC1N2C=CC(=O)NC2=O)CO)O	134.673
CC(C(C)O)O	200.14902
C1CC(OC1CO)N2C=CC(=NC2=O)N	272.37
C1CC(OC1CO)N2C=CC(=O)NC2=O	103.84098
C(CC(C(=O)O)N)CC(C(=O)O)N	592.656
C1=CC2=C(C(=C1)O)NC(=O)C=C2	91.63098
C1=CC=NC(=C1)CCN	331.31898
C(C1C(C(C(C(O1)OC2C(C(C(OC2O)CO)O)O)O)O)O)O	568.491
COC1=CC=CC(=C1N)C(=O)O	76.44402
C1=CC=C(C=C1)C(=O)CN	64.75698
C(C[S-])[NH3+]	122.93502
C(CP(=O)(O)O)N	563.46
C1=CC=C(C(=C1)N)O	73.029
C1CCC(C1)NC2=NC(=NC3=C2N=CN3C4C(C(C(O4)CO)O)O)Cl	88.41198
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(N=C2N)Cl	161.32398
C1C(C(OC1N2C=CC(=NC2=O)N)COP(=O)(O)O)O	549.44202
C1C(C(OC1N2C=CC(=O)NC2=O)CO)O	177.68202
CCCC=CC=O	83.48298
C1=CC=C(C=C1)C(=O)CO	261.82302
C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O	60.855
C1=CC=C2C(=C1)C=CC(=O)N2	90.678
COC1=C(C=CC(=C1)C=C)O	522.52002
C1=CC=C(C=C1)CC(=O)N	75.39498
CCC(=O)NCC(=O)O	322.36902
C1=CC(=O)NC=C1	122.93502
C1=CN(C(=S)N=C1N)C2C(C(C(O2)CO)O)O	319.51998
C1=CN(C(=S)NC1=O)C2C(C(C(O2)CO)O)O	148.63698
C1C2C(COP(=O)(O2)O)OC1N3C=NC4=C3N=CN=C4N	437.14902
COC1C(OC(C1O)N2C=CC(=NC2=O)N)CO	305.322
COC1C(OC(C1O)N2C=NC3=C2NC(=NC3=O)N)CO	348.07902
COC1C(OC(C1O)N2C=CC(=O)NC2=O)CO	145.06398
C1=CC(=C(C=C1C(C(=O)O)O)O)O	137.74698
C1=CC(=C(C=C1CC(C(=O)O)N)O)O	498.75402
COC1=C(C=C(C=C1)C=O)OC	64.53
C1=C(C=C(C=C1O)O)NCC(=O)O	491.07396
